sentence	author	title	allusion	variation_number	allusion_index	transformed_allusion
晨严九折度，暮戒六军行。	张九龄	奉和圣制早登太行山率尔言志	九折（王阳，王尊）	1	[[2, 3]]	[2, 3,九折（王阳，王尊）]
郢曲怜公子，吴州忆伯鸾。	张南史	送朱大游塞	梁鸿（孟光，梁鸿）	1	[[9, 10]]	[9, 10,梁鸿（孟光，梁鸿）]
自怜非剧孟，何以佐良图。	李白	中丞宋公以吴兵三千赴河南军次寻阳脱余之囚参谋幕府因赠之	剧孟	1	[[3, 4]]	[3, 4,剧孟]
曾共山翁把酒时，霜天白菊绕阶墀。	李商隐	九日	山简	1	[[2, 4]]	[2, 3, 4,山简]
一瓢风入犹嫌闹，何况人间万种人。	汪遵	箕山	一瓢（许由）	2	[[0, 1, 2, 3]]	[0, 1, 2, 3,一瓢（许由）]
青丝䋏引木兰船，名遂身归拜庆年。	韩翃	送冷朝阳还上元	木兰舟（鲁班）	1	[[4, 5, 6]]	[4, 5, 6,木兰舟（鲁班）]
花扑征衣看似绣，云随去马色疑骢。	岑参	青门歌送东合张判官	骢马（桓典）;绣衣	2	[[14, 15]];[[6, 7]]	[14, 15,骢马（桓典）];[6, 7,绣衣]
多君有奇略，投笔佐元戎。	独孤及	送游员外赴淮西	投笔（班超）	1	[[6, 7]]	[6, 7,投笔（班超）]
欲除豺虎论三略，莫对云山咏四愁。	护国	别盛安	四愁（张衡）	1	[[13, 14]]	[13, 14,四愁（张衡）]
新丰佳气满，圣主在温泉。	钱起	温泉宫礼见	佳气（刘秀，苏伯阿）	1	[[2, 3]]	[2, 3,佳气（刘秀，苏伯阿）]
游人一听头堪白，苏武争禁十九年。	杜牧	边上闻笳三首之一	苏武（刘彻，苏武）	1	[[8, 9]]	[8, 9,苏武（刘彻，苏武）]
三车在门外，载你免飘蓬。	寒山	诗三百三首	三车	1	[[0, 1]]	[0, 1,三车]
麦陇和风吹树枝，商山逸客出关时。	刘禹锡	和留守令狐相公答白宾客	紫芝（刘邦，夏黄公，东园公，甪里先生，绮里季，四皓）	1	[[8, 9]]	[8, 9,紫芝（刘邦，夏黄公，东园公，甪里先生，绮里季，四皓）]
王母翳华芝，望尔昆崙侧。	王维	赠李颀	王母（西王母）	1	[[0, 1]]	[0, 1,王母（西王母）]
时通有诏徵枚乘，世乱无人荐祢衡。	徐夤	龙蛰二首	祢衡	1	[[13, 14]]	[13, 14,祢衡]
持衡留藻鉴，听履上星辰。	杜甫	上韦左相二十韵	履声（郑崇）	1	[[6, 7]]	[6, 7,履声（郑崇）]
古人亦有言，浮生七十稀。我今欠六岁，多幸或庶几。倘得及此限，何羡荣启期。	白居易	临镜喜老	荣启期	1	[[32, 33, 34]]	[32, 33, 34,荣启期]
金屋瑶筐开宝胜，花笺彩笔颂春椒。	崔日用	奉和人日重宴大明宫思赐彩缕人胜应制	椒花颂（陈氏）	1	[[12, 13, 14]]	[12, 13, 14,椒花颂（陈氏）]
若向花中比，犹应胜眼花。	白居易	和微之叹槿花		0		
灵均精魄如能问，又得千年贾傅词。	陆龟蒙	送羊振文先辈往桂阳归觐	长沙谪（贾谊）	1	[[12, 13]]	[12, 13,长沙谪（贾谊）]
雅论冰生水，雄材刃发硎。	窦庠	酬韩愈侍郎登岳阳楼见赠（时子权知岳州事）	无全牛（庖丁）	1	[[8, 9]]	[8, 9,无全牛（庖丁）]
已知成傲吏，复见解朝衣。	郎士元	送元诜还丹阳别业	傲吏	1	[[3, 4]]	[3, 4,傲吏]
英主赐五马，本是天池龙。	李白	送长沙陈太守二首	五马	1	[[3, 4]]	[3, 4,五马]
周旋梁宋间，感激建安时。	高适	宋中别周梁李三子	建安作	1	[[8, 9, 10]]	[8, 9, 10,建安作]
差肩曳长裾，总辔奉和铃。	卢纶	纶与吉侍郎中孚司空郎中曙苗员外发崔补阙峒耿拾遗湋李校书端风尘追游向三十载公皆负当时盛称荣耀未几俱沈下泉畅博士当感怀前踪有五十韵见寄辄有所酬以申悲旧兼寄夏侯侍御审侯仓曹钊	曳裾（邹阳）	1	[[2, 3, 4]]	[2, 3, 4,曳裾（邹阳）]
自性具三身，发明成四智。	慧能	示智通偈		0		
