sentence	author	title	allusion	variation_number	allusion_index	transformed_allusion
筐箧静开难似此，蕊珠春色海中山。	钱起	暇日览旧诗因以题咏	蕊珠	1	[[8, 9]]	
故人言别倍依依，病里班荆苦忆违。	吴融	送许校书	班荆	1	[[10, 11]]	
卫玠羊车悬，长卿驷马姿。	黄滔	喜翁文尧员外病起	题桥（司马相如）	1	[[6, 7, 8, 9]]	
始惊兰佩出，复咏柏梁新。	崔国辅	九日侍宴应制	柏梁	1	[[8, 9]]	
先帝侍女八千人，公孙剑器初第一。	杜甫	观公孙大娘弟子舞剑器行		0		
绣衣春当霄汉立，彩服日向庭闱趋。	杜甫	入奏行赠西山检察使窦侍御	绣衣	1	[[0, 1]]	
同心合带两相依，明日双朝入此微。	宋之问	花烛行		0		
不触波澜招庆月，动人云雨鼓山雷。	克符道者	都颂		0		
幸许宗雷到，清谈不易闻。	权德舆	送映师归本寺	宗雷	1	[[2, 3]]	
蹑履三千皆后学，抟风九万即前程。	方干	寄于少监	大鹏（庄子）	1	[[8, 9]]	
时余采菖蒲，忽见嵩之阳。	王昌龄	就道士问周易参同契		0		
赋妙排鹦鹉，诗能继鹡鸰。	杜牧	分司东都寓居覆道叨承川尹刘侍郎大夫恩知上四十韵	鹡鸰	1	[[9, 10]]	
客心无限事，愁雨不堪闻。	李郢	酬刘谷除夜见寄		0		
老马夜知道，苍鹰饥著人。	杜甫	观安西兵过赴关中待命二首之一（李嗣业以镇西北庭兵同郭子仪讨安庆绪。安西即镇西旧名也。）	存老马（管仲）	1	[[0, 1, 2]]	
不然岂有姑苏郡，拟著陂塘比镜湖。	元稹	再酬复言		0		
三杰贤更穆，百僚欢且兢。	王湾	秋夜寓直即事怀赠萧令公裴侍郎兼通简南省诸友人	三杰（张良，萧何，韩信）	1	[[0, 1]]	
白狼行欲静，骢马何常驱。	李乂	诏谕有怀赠同行人	骢马（桓典）	1	[[6, 7]]	
社思匡岳无宗炳，诗忆扬州有鲍昭。	齐己	荆渚逢禅友	鲍参军（鲍照）	1	[[13, 14]]	
文武轻车少，腥膻左衽衰。	窦牟	送刘公达判官赴天德军幕	轻车（李蔡）	1	[[2, 3]]	
