allusion	variation_list
桃源（陶潜）	秦人桃花;不知秦;洞中人;不知有汉;如今不是秦;闻犬洞;洞犬谢秦人;秦汉迷;秦世客;秦渔;如今已是汉;山中秦晋;桃散武陵霞;嫌秦;寻源;不识东西晋;晋客入洞;仙源;源水无路
阳台（宋玉，楚襄王，瑶姬）	云雨梦;梦尽失欢;高阳人;入梦人;高唐十二峰;瑶姬梦;彩云梦断;荒淫归楚襄;香云入梦;楚天朝雨;荐梦无云雨;暮洒朝行;神人入梦;巫岭荆台;巫阳归梦;彩云下巫峰;问云楚女;行云湿仙衣;云情
吹箫（弄玉，秦穆公，萧史）	凤箫;萧台;仙史;仙人;乘龙人;凤不返;控双鸾;秦妃;层台凤舞;乘龙骑凤;教箫楼;鸾凤匹;秦娥;仙鸾彩凤;萧郎赤凤;骖鸾;随凤史;台空凤不来;萧氏夫妇;萧玉和鸣
桂枝（郤诜）	昆山片玉;桂一枝;郗枝;折月中枝;丹枝;手中有桂;郤家兄弟
白雪（宋玉）	郢曲;巴里;巴音;雪唱;巴歌;巴人;调高难和;雪满琴;下里;人歌
蓬莱	蓬莱岛;山;瀛岛;方蓬;入海求;三岛;蓬瀛;蓬壶;瀛洲;员峤波翻;方壶;方丈;蓬邱;蓬丘;三壶
紫芝（刘邦，夏黄公，东园公，甪里先生，绮里季，四皓）	黄绮;绮园;商山紫芝;绮皓;绮季;甪里;黄公;园公;绮里;商岩;商颜;夏季;曲
谢朓	宣城;谢玄晖;谢;谢家为郡
陶潜	陶渊明;靖节;彭泽;陶元亮;陶公;陶家;泉明;陶令;陶潜
沧浪（屈原）	濯沧浪缨;渔父;孺子歌;鼓枻歌;论浊清;濯冠巾
鲈鱼（张翰）	人生适意;鲈鱼;鲈香;知机早;张翰;秋风归去;吴中菰菜;江东鲙;思菰米;步兵鲈;为莼;忆;莼菜;东归不为鲈;官许季鹰抛;还吴张;江鲈有约;鲙美菰香;鲈鱼为后期;秋风忆故乡;张翰辞东府;张翰忆江东;张季思鲈;张掾秋风;菜羹;故乡鱼美;鲈乡;思归待秋风;西风归计
三径（求仲，羊仲，蒋诩）	开三径;求羊;求仲;羊仲;蒋生难再逢;三路;避地蒋生;二仲;径开高士
