sentence	author	title	allusion	variation_number	allusion_index
千载桃花春，秦人深不见。	刘长卿	自紫阳观至华阳洞宿侯尊师草堂简同游李延年	桃源（陶潜）	1	[[2, 4]]
莫遣桃花迷客路，千山万水访君难。	戎昱	送吉州阎使君入道二首	桃源（陶潜）	1	[[2, 5]]
洞天应不夜，源树秪如春。	李德裕	尊师是桃源黄先生传法弟子常见尊师称先师呈迹今重赋此诗兼寄题黄先生旧馆	桃源（陶潜）	1	[[0, 2]]
锦洞桃花远，青山竹叶深。	李群玉	送秦炼师	桃源（陶潜）	1	[[2, 4]]
此花不逐溪流出，晋客无因入洞来。	杜牧	酬王秀才桃花园见寄	桃源（陶潜）	1	[[8, 10]]
若教避俗秦人见，知向河源旧侣夸。	杨凭	千叶桃花	桃源（陶潜）	1	[[4, 6]]
源水终无路，山阿若有人。	王勃	出境游山二首之一	桃源（陶潜）	1	[[0, 2]]
未减行雨荆台下，自比凌波洛浦游。	上官仪	咏画障	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
何山无朝云，彼云亦悠扬；何山无暮雨，彼雨亦苍茫。	于濆	巫山高	阳台（宋玉，楚襄王，瑶姬）	1	[[3, 5]]
神来云雨合，神去蕙兰香。	储嗣宗	圣女祠	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
襄王忽妖梦，宋玉复淫辞。万事捐宫馆，空山云雨期。	元稹	楚歌十首之四	阳台（宋玉，楚襄王，瑶姬）	1	[[19, 22]]
苍山云雨逐明神，唯有香名万岁春。	刘商	题黄陂夫人祠	阳台（宋玉，楚襄王，瑶姬）	1	[[1, 4]]
云归巫峡音容断，路隔星河去住难。	刘损	愤惋诗三首	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
相逢相笑尽如梦，为雨为云今不知。	刘禹锡	有所嗟二首	阳台（宋玉，楚襄王，瑶姬）	1	[[10, 12]]
不知巫峡雨，何事海西边。	刘长卿	杨州雨中张十宅观妓	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 5]]
蒹葭新有雁，云雨不离猿。	司空曙	送史申之峡州	阳台（宋玉，楚襄王，瑶姬）	1	[[6, 8]]
云白当山雨，风清满峡波。	司空曙	送夔州班使君	阳台（宋玉，楚襄王，瑶姬）	1	[[3, 5]]
襄王席上一神仙，眼色相当语不传。	吴融	浙东筵上有寄	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
三峡却为行雨客，九天曾是散花人。	吴融	还俗尼（本是歌妓）	阳台（宋玉，楚襄王，瑶姬）	1	[[3, 6]]
妾家巫山隔汉川，君度南庭向胡苑。	乔知之	和李侍郎古意	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
家本巫山阳，归去路何长。	乔知之	定情篇	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
今夜神仙女，应来感梦情。	孟浩然	送桓子之郢成礼	阳台（宋玉，楚襄王，瑶姬）	1	[[9, 10]]
裴回行作雨，婉娈逐荆王。	宋之问	内题赋得巫山雨（一作沈佺期诗。题云巫山高）	阳台（宋玉，楚襄王，瑶姬）	1	[[9, 11]]
巫山唱罢行云过，犹自微尘舞画梁。	崔	和人听歌	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
醉中求习氏，梦里忆襄王。	崔湜	襄阳作	阳台（宋玉，楚襄王，瑶姬）	1	[[9, 11]]
云雨兮飞二十年，当时求梦不曾眠。今来白头重相见，还上襄王玳瑁筵。	张又新	赠广陵妓	阳台（宋玉，楚襄王，瑶姬）	1	[[26, 28]]
何事桃源路忽迷，惟留云雨怨空闺。	张贲	和袭美醉中先起次韵	阳台（宋玉，楚襄王，瑶姬）	1	[[10, 12]]
裁分楚女朝云片，剪破姮娥夜月光。	徐寅	追和白舍人咏白牡丹	阳台（宋玉，楚襄王，瑶姬）	1	[[4, 6]]
旧栈歌难度，朝云湿未开。	戴叔伦	经巴东岭	阳台（宋玉，楚襄王，瑶姬）	1	[[6, 8]]
才会雨云须别去，语惭不及琵琶槽。	方干	赠美人四首	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
巫山千丈高，亦恐梦相失。	曹邺	古相送	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
宋玉谩誇云雨会，谢连宁许梦魂通。	李咸用	和友人喜相遇十首	阳台（宋玉，楚襄王，瑶姬）	1	[[4, 6]]
众中赏我赋高唐，回看屈宋由年辈。	李商隐	偶成轻韵七十二句赠四同馀	阳台（宋玉，楚襄王，瑶姬）	1	[[4, 7]]
远忆巫山阳，花明渌江暖。	李白	寄远十一首之五	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
巫峡通湘浦，迢迢隔云雨。	李端	古别离二首	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
寂寞高堂别楚君，玉人天上逐行云。	李群玉	宿巫山庙二首	阳台（宋玉，楚襄王，瑶姬）	1	[[13, 15]]
所思云雨外，何处寄馨香。	李群玉	临水蔷薇	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
曾留宋玉旧衣裳，惹得巫山梦里香。	李群玉	赠人	阳台（宋玉，楚襄王，瑶姬）	1	[[10, 13]]
莫令巫山下，幽梦惹云雨。	李群玉	送郑京昭之云安	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
瑶姬不可见，行雨在高丘。	李群玉	云安	阳台（宋玉，楚襄王，瑶姬）	1	[[6, 8]]
不知精爽归何处，疑是行云秋色中。	李群玉	题二妃庙	阳台（宋玉，楚襄王，瑶姬）	1	[[10, 12]]
蜀烟飞重锦，峡雨溅轻容。	李贺	恼公	阳台（宋玉，楚襄王，瑶姬）	1	[[6, 8]]
行云沾翠辇，今日似襄王。	李贺	追赋画江潭苑四首	阳台（宋玉，楚襄王，瑶姬）	1	[[9, 11]]
湘水夜空巫峡远，不知归路欲如何。	李郢	中元夜	阳台（宋玉，楚襄王，瑶姬）	1	[[4, 6]]
艳质已随云雨散，凤楼空锁月明天。	杜牧	伤友人悼吹箫妓	阳台（宋玉，楚襄王，瑶姬）	1	[[4, 6]]
楚江巫峡半云雨，清簟疏帘看弈棋。	杜甫	七月一日题终明府水楼二首	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
巫峡长云雨，秦城近斗杓。	杜甫	哭王彭州抡	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
襄王薄行迹，莫学冷如丁。	杜甫	奉酬薛十二丈判官见赠	阳台（宋玉，楚襄王，瑶姬）	1	[[0, 2]]
荆扬春冬异风土，巫峡日夜多云雨。	杜甫	寄柏学士林居	阳台（宋玉，楚襄王，瑶姬）	1	[[8, 10]]
始知云雨峡，忽尽下牢边。	杜甫	春夜峡州田侍御长史津亭留宴	阳台（宋玉，楚襄王，瑶姬）	1	[[2, 4]]
冥冥翠龙驾，多自巫山台。	杜甫	雨	阳台（宋玉，楚襄王，瑶姬）	1	[[8, 10]]
舞石旋应将乳子，行云莫自湿仙衣。	杜甫	雨不绝	阳台（宋玉，楚襄王，瑶姬）	1	[[12, 15]]
独有荆王殿，时时暮雨过。	杨巨源	名姝咏	阳台（宋玉，楚襄王，瑶姬）	1	[[8, 10]]
妾家巫峡阳，罗幌寝兰堂。纵便朦胧觉，魂犹逐楚王。	杨巨源	美人春怨	阳台（宋玉，楚襄王，瑶姬）	1	[[21, 23]]
