sentence,author,title,allusion,variation_number,allusion_index,transformed_allusion
不恨归日迟，莫向临邛去。,孟郊,古别离,文君（卓文君，卓王孙，司马相如）,1,"[[8,9]]","[,文君（卓文君，卓王孙，司马相如）]"
临邛行乐处，莫到白头回。,李频,送友人入蜀,文君（卓文君，卓王孙，司马相如）,1,"[[0,1]]","[,文君（卓文君，卓王孙，司马相如）]"
仙翁昨日事，应见此时情。,刘太真,贡院寄前主司萧尚书听,山涛,0,[],"[,山涛]"
何言峄山树，还似半心生。,张九龄,故荥阳君苏氏挽歌词三首,龙门,0,[],"[,龙门]"
哀响云合来，清馀桐半死。,鲍溶,悲湘灵,鼓瑟（女英，娥皇，舜）,1,"[[8,10]]",鼓瑟（女英，娥皇，舜）
太阳不忍明，飞御皆惰怠。,韩愈,嘲鼾睡二首之一,羲和,1,"[[6,7]]","[,羲和]"
嬴氏归山陵已掘，声声犹带发冲冠。,贾岛,听乐山人弹易水,击筑（高渐离，荆轲，狗屠）,0,[],"[,击筑（高渐离，荆轲，狗屠）]"
山公启事罢，吉甫颂声传。,张九龄,奉和吏部崔尚书,吉甫颂,1,"[[6,8]]","[,吉甫颂]"
读书新树老，垂钓旧矶平。,许浑,重伤杨攀处士二首之一,严陵（严光）,1,"[[6,7]]","[,严陵（严光）]"
野树滴残龙战血，曦车碾下朝霞屑。,李咸用,绯桃花歌,羲和,1,"[[8,9]]","[,羲和]"
钓濑疏坟籍，耕岩进弈棋。,杜甫,夔府书怀四十韵,严陵（严光）,1,"[[0,1]]","[,严陵（严光）]"
陶令归去来，田家酒应熟。,李白,寻紫极宫感秋作,五斗米（陶潜）,1,"[[0,1]]","[,五斗米（陶潜）]"
雅韵凭开匣，雄铓待发硎。,杜牧,分司东都寓居履道叨承川尹刘侍郎大夫恩知上四十韵,无全牛（庖丁）,1,"[[9,10]]","[,无全牛（庖丁）]"
