sentence	author	title	allusion	variation_number	allusion_index	transformed_allusion
中年不得意，谢病客游梁。	王维	济上四贤咏成文学	游梁	1	[[9, 10]]	[9, 10,游梁]
含香台上客，剖竹海边州。	郎士元	送陆员外赴潮州	含香	1	[[0, 1]]	[0, 1,含香]
勇果鲁仲由，文赋蜀相如。	崔璐	览皮先辈盛制因作十韵以寄用伸款仰	相如（司马相如）	1	[[9, 10]]	[9, 10,相如（司马相如）]
相府恩犹在，知君未拂衣。	耿湋	赠胡居士	拂衣	1	[[9, 10]]	[9, 10,拂衣]
当时若遇东昏主，金叶莲花是此人。	罗虬	比红儿诗	金莲（萧宝卷，潘妃）	1	[[4, 6]]	[4, 6,金莲（萧宝卷，潘妃）]
莫作新亭泣，徒使夷吾嗤。	独孤及	癸卯岁赴南丰道中闻京师失守寄权士繇韩幼深	新亭举目（王导）	1	[[2, 4]]	[2, 4,新亭举目（王导）]
永秘黄庭诀，高悬漉酒巾。	姚合	哭砚山孙道士	漉酒（陶潜）	2	[[8, 9, 10]]	[8, 9, 10,漉酒（陶潜）]
华亭鹤唳讵可闻，上蔡苍鹰何足道。	李白	行路难三首	上蔡（李斯，赵高）	2	[[8, 9, 10, 11]]	[8, 9, 10, 11,上蔡（李斯，赵高）]
耕田虞讼寝，凿井汉机忘。	卢照邻	山林休日田家	抱瓮（庄子）	1	[[8, 9]]	[8, 9,抱瓮（庄子）]
明妃愁中汉使回，蔡琰愁处胡笳哀。	顾况	刘禅奴弹琵琶歌	明妃（王昭君）	1	[[0, 1]]	[0, 1,明妃（王昭君）]
郑乡空健羡，陈榻未招延。	温庭筠	感旧陈情五十韵献淮南李仆射	解榻（周璆，徐稚，陈蕃）	1	[[6, 7]]	[6, 7,解榻（周璆，徐稚，陈蕃）]
盟经早晚闻仙语，学种三芝伴羽人。	王初	延平天庆观	丹丘	1	[[13, 14]]	[13, 14,丹丘]
谢公终一起，相与济苍生。	李白	送裴十八图南归嵩山二首之二	苍生望（谢安）	1	[[9, 11]]	[9, 11,苍生望（谢安）]
正平赋鹦鹉，文考颂灵光。	权德舆	从事淮南府过亡友杨校书旧厅感念愀然	鹦鹉赋	1	[[2, 5]]	[2, 5,鹦鹉赋]
借问还珠盈合浦，何如鲤也入庭闱。	钱起	送韦信爱子归觐	还珠（孟尝）;趋庭（孔子，孔鲤，陈亢）	2	[[2, 3]];[[10, 11]]	[2, 3,还珠（孟尝）];[10, 11,趋庭（孔子，孔鲤，陈亢）]
独负千金价，应从买笑来。	郑世翼	见佳人负钱出路	千金笑	1	[[2, 4]]	[2, 4,千金笑]
芳树文君机上锦，远山孙寿镜中眉。	罗隐	题袁溪张逸人所居	文君（卓文君，卓王孙，司马相如）;堕髻（梁冀，孙寿）	2	[[2, 3]];[[10, 12]]	[2, 3,文君（卓文君，卓王孙，司马相如）];[10, 12,堕髻（梁冀，孙寿）]
合乐来仪凤，尊祠重饩羊。	柳宗元	弘农公以硕德伟材屈于诬枉左官三岁复为大僚天监昭明人心感悦宗元窜伏湘浦拜贺末由谨献诗五十韵以毕微志	凤来	1	[[2, 5]]	[2, 5,凤来]
女娲只解补青天，不解煎胶黏日月。	司空图	杂言	补天（女娲）	1	[[0, 2]]	[0, 2,补天（女娲）]
请问汉家功第一，麒麟阁上识酂侯。	杨巨源	元日含元殿下立仗丹凤楼门下宣赦相公称贺二首之二	酂侯（刘邦，萧何）	1	[[13, 14]]	[13, 14,酂侯（刘邦，萧何）]
年年白社客，空滞洛阳城。	孟浩然	李氏园林卧疾	白社	1	[[2, 3]]	[2, 3,白社]
是非生倚伏，荣辱系悲欢。	刘长卿	瓜州驿奉饯张侍御公拜膳部郎中却复宪台充贺兰大夫留后使之岭南时侍御先在淮南幕府	倚伏	1	[[3, 4]]	[3, 4,倚伏]
白简徒推荐，沧洲已拂衣。	孟浩然	同曹三御史行泛湖归越	沧洲	1	[[6, 7]]	[6, 7,沧洲]
叨承解榻礼，更得问缣游。	高适	东平旅游奉赠薛太守二十四韵	解榻（周璆，徐稚，陈蕃）	1	[[2, 3]]	[2, 3,解榻（周璆，徐稚，陈蕃）]
此时樯底水，涛起屈原通。	贾岛	寄朱锡圭	屈原	1	[[8, 9]]	[8, 9,屈原]
