sentence	author	title	allusion	variation_number	allusion_index
浮世度千载，桃源方一春。	于武陵	赠王道士	桃源（陶潜）	1	[[6, 7]]
曾逢异人说，风景似桃源。	于鹄	南溪书斋	桃源（陶潜）	1	[[9, 10]]
不言沁园好，独隐武陵花。	储光羲	玉真公主山居	桃源（陶潜）	1	[[8, 9]]
鸡犬疑沾药，耕桑似避秦。	储嗣宗	春游望仙谷	桃源（陶潜）	1	[[9, 10]]
僻居谋道不谋身，避病桃源不避秦。	刘商	袁十五远访山门	桃源（陶潜）	2	[[10, 11], [13, 14]]
今看水入洞中去，却是桃花源里人。	刘商	题水洞二首	桃源（陶潜）	2	[[10, 11, 12], [11, 12]]
楼台争耸汉，鸡犬亦嫌秦。	刘言史	题茅山仙台药院	桃源（陶潜）	1	[[9, 10]]
兰渚催新幄，桃源识故蹊。	刘长卿	和袁郎中破贼后军行过剡中山水谨上太尉	桃源（陶潜）	1	[[6, 7]]
徘徊未能去，畏共桃源隔。	刘长卿	奉陪萧使君入鲍达洞寻灵山寺	桃源（陶潜）	1	[[8, 9]]
何劳问秦汉，更入武陵溪。	刘长卿	奉陪郑中丞自宣州解印与诸侄宴余干后溪	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
桃源定在深处，涧水浮来落花。	刘长卿	寻张逸人山居	桃源（陶潜）	1	[[0, 1]]
重见太平身已老，桃源久住不能归。	刘长卿	会赦后酬主簿所问	桃源（陶潜）	1	[[8, 9]]
深藏武陵客，时过洞庭人。	刘长卿	湘中纪行十首云母溪	桃源（陶潜）	2	[[2, 3, 4], [2, 3]]
渡口问渔家，桃源路深浅。	刘长卿	石围峰	桃源（陶潜）	2	[[6, 7, 8], [6, 7]]
初迷武陵路，复出孟尝门。	刘长卿	秦系倾以家事获谤因出旧山每荷观察崔公见知欲归未遂感其流寓诗以赠之	桃源（陶潜）	3	[[2, 3, 4], [1, 2, 3], [2, 3]]
千载桃花春，秦人深不见。	刘长卿	自紫阳观至华阳洞宿侯尊师草堂简同游李延年	桃源（陶潜）	0	[]
柏树荣新垄，桃源忆故蹊。	刘长卿	贾侍郎自会稽使回篇代盈卷兼蒙见寄一首与余有挂冠之期因书数事率成十韵	桃源（陶潜）	1	[[6, 7]]
露冕新承明主恩，山城别是武陵源。	刘长卿	送台州李使君兼寄题国清寺	桃源（陶潜）	2	[[12, 13, 14], [12, 13]]
殷勤嘱归客，莫话桃源人。	刘长卿	送子婿崔真甫李穆往扬州四首	桃源（陶潜）	2	[[8, 9, 10], [8, 9]]
