sentence	allusion	variation_number	allusion_index	transformed_allusion
《孔氏家传》孔参议家藏，号东家方。	东家丘	1	[[13, 14]]	[13, 14, 东家丘]
知己欲依何水部，乡人今正贱东丘。	东家丘	1	[[13, 14]]	[13, 14, 东家丘]
东家处子三年怨，南国佳人绝代容。	东墙窥宋	1	[[0, 3]]	[0, 1, 2, 3, 东墙窥宋]
圣学鲁东家，恭惟同出自。	东家丘	1	[[2, 4]]	[2, 3, 4, 东家丘]
学者诚熟读而精思之，于以救济苍生，亦未必无小补云。	东山再起	1	[[13, 15]]	[13, 14, 15, 东山再起]
夫医理经方，皆圣王康济苍生之术，岂可与房中、神仙之邪说并列为方伎哉！	东山再起	1	[[10, 12]]	[10, 11, 12, 东山再起]
圣代无隐者，英灵尽来归。遂令东山客，不得顾采薇。	东山再起; 采薇	2	[[14, 16], [21, 22]]	[14, 15, 16, 东山再起]; [21, 22, 采薇]
携妓东土山，怅然悲谢安。	东山妓	1	[[0, 1]]	[0, 1, 东山妓]
我今携谢妓，长啸绝人群。欲报东山客，开关扫白云。	东山妓	1	[[3, 4]]	[3, 4, 东山妓]
翛然别是神仙趣，岂羡东山妓乐随。	东山携妓	1	[[10, 13]]	[10, 11, 12, 13, 东山携妓]
谢公正要东山妓，携手林泉处处行。	东山携妓	1	[[4, 6]]	[4, 5, 6, 东山携妓]
好雍容、东山妓女，堪笑傲、北海樽罍。	东山携妓	1	[[4, 6]]	[4, 5, 6, 东山携妓]
聚徒南郡传经盛，携妓东山退食馀。	东山携妓	1	[[8, 11]]	[8, 9, 10, 11, 东山携妓]
不羡东山携妓看，堆盘鲙玉映红绡。	东山携妓	1	[[2, 5]]	[2, 3, 4, 5, 东山携妓]
谢公今击苍生望，无复东山携妓时。	东山携妓	1	[[10, 13]]	[10, 11, 12, 13, 东山携妓]
谢公自有东山妓，金屏笑坐如花人。	东山携妓	1	[[4, 6]]	[4, 5, 6, 东山携妓]
至今犹有东山妓，长使歌诗被管弦。	东山携妓	1	[[4, 6]]	[4, 5, 6, 东山携妓]
京口东南，有谢公妓堂遗迹。	东山携妓	1	[[6, 8]]	[6, 7, 8, 东山携妓]
桃叶新声，榴花美味。南山宾客东山妓。利名不肯放人闲，忙中偷取工夫醉。	东山携妓	1	[[14, 16]]	[14, 15, 16, 东山携妓]
别有狂言谢时望，东山妓即是苍生。	东山携妓	1	[[8, 10]]	[8, 9, 10, 东山携妓]
送侄良携二妓赴会稽，戏有此赠携妓东山去，春光半道催。	东山携妓	1	[[14, 17]]	[14, 15, 16, 17, 东山携妓]
好雍容、东山妓女，堪笑傲、北海樽垒。	东山携妓	1	[[4, 6]]	[4, 5, 6, 东山携妓]
不携东山妓，居是东山流。	东山携妓	1	[[2, 4]]	[2, 3, 4, 东山携妓]
谢公昔高卧，挟妓东山游。	东山携妓	1	[[6, 9]]	[6, 7, 8, 9, 东山携妓]
谢家楼上清秋月，分作关山几处明。	梦惠连	1	[[0, 2]]	[0, 1, 2, 梦惠连]
怪莺儿乱啼，惊蝶梦初回，正春风草满谢家池。	梦惠连	1	[[17, 19]]	[17, 18, 19, 梦惠连]
论盲从西医之害国医界中有一股投机份子，眼见这个年头，西医十分时髦，十分神气，大为社会所重视，不免因羡生慕，不惜降志辱身，做起效颦的东施来，他那种做作，攒眉蹙额。	东施效颦	1	[[62, 63]]	[62, 63, 东施效颦]
虽知尊仲景矣，亦未尝不欲效之也，徒以捧心效西施尔。	东施效颦	1	[[18, 19]]	[18, 19, 东施效颦]
雄按：此释甚明白，何以第二章释为因地制宜？而讥他人效颦也。湿遏热伏，必先用辛开苦降以泄其湿，湿开热透，故防舌干，再用苦辛甘凉从里而透于外，则胃气化而津液输布，舌即变润，自能作汗，而热邪亦可随汗而解。	东施效颦	1	[[25, 26]]	[25, 26, 东施效颦]
嚬眉之忧，不得所欢，长思忧叹。	东施效颦	1	[[0, 1]]	[0, 1, 东施效颦]
在他人，欲不论星辰，是不知有下学工夫，而遽欲躐等上达，正所谓欲以效颦，适增其丑。	东施效颦	1	[[32, 33]]	[32, 33, 东施效颦]
余曰：此乃占地穴之形势耳，非关吉凶祸福，余笑前贤以一卦而断父子弟兄妻财官禄，余岂效颦耶。	东施效颦	1	[[40, 41]]	[40, 41, 东施效颦]
近见东垣、丹溪之书大行，世医见其不用古方也，率皆效颦治病，辄自制方。	东施效颦	1	[[24, 25]]	[24, 25, 东施效颦]
