sentence	allusion	variation_number	allusion_index	transformed_allusion
丝幕难亲，锦笺牢佩，璧返珠还，钗全镜合，未可知也。	丝幕牵红	1	[[0, 3]]	[0, 1, 2, 3, 丝幕牵红]
烟阁传形，革车就国。尽人臣之极分，焕今古之高名。	凌烟阁	1	[[0, 3]]	[0, 1, 2, 3, 凌烟阁]
湘江竭，燕山截，断鱼封雁帖。	鱼传尺素	1	[[9, 12]]	[9, 10, 11, 12, 鱼传尺素]
原室惟环堵，颜瓢可乐饥。	原宪贫	1	[[0, 1]]	[0, 1, 原宪贫]
叹臣朔常饥，将军负腹，奇气向谁吐?	索米长安	1	[[1, 4]]	[1, 2, 3, 4, 索米长安]
原鸰奕奕，沼雁驯驯。	鹡鸰在原	1	[[0, 1]]	[0, 1, 鹡鸰在原]
须君磨盾作露布，插羽来奏明光宫。	磨盾鼻	1	[[2, 3]]	[2, 3, 磨盾鼻]
谁人笑里相迎。有三年窥宋，一顾倾城。	东墙窥宋	1	[[8, 11]]	[8, 9, 10, 11, 东墙窥宋]
你孝顺似那王祥卧冰，你恰似伯俞泣杖。	伯瑜泣杖	1	[[13, 16]]	[13, 14, 15, 16, 伯瑜泣杖]
廋语尚传黄绢妇，多情好在紫髯翁。	绝妙好辞	1	[[4, 6]]	[4, 5, 6, 绝妙好辞]
欲寻鸱夷舸，不顾涉险戒。	范蠡扁舟	1	[[2, 4]]	[2, 3, 4, 范蠡扁舟]
鸥鸟忘机翻浃洽，交亲得路昩平生。	鸥鹭忘机	1	[[0, 3]]	[0, 1, 2, 3, 鸥鹭忘机]
魏紫姚黄凝晓露，国艳天然。	魏紫姚黄	1	[[0, 3]]	[0, 1, 2, 3, 魏紫姚黄]
其质地不近不能造就，及玩日愒时并无门径者，应避贤路。	玩愒	1	[[11, 14]]	[11, 12, 13, 14, 玩愒]
帝乘羊车，肉袒、衔璧，舆榇出东门降。	面缚舆榇; 面缚舆榇	2	[[8, 9], [11, 12]]	[8, 9, 面缚舆榇]; [11, 12, 面缚舆榇]
句稳翻嫌白俗，情高却笑郊寒。	郊寒岛瘦	1	[[11, 12]]	[11, 12, 郊寒岛瘦]
公所为文若此，其于经纶康济之具，固已略备，且其位又可以有为者也，必一一以所言推而布之，则是纯道之政，而非徒设之诞也。	经纶	1	[[9, 10]]	[9, 10, 经纶]
胁从百姓，残忍一方。积恶成殃，擢发难数。	擢发难数	1	[[15, 18]]	[15, 16, 17, 18, 擢发难数]
天不爱道而洛书出，文王时，神龟载书出于洛云云。	河图洛书	1	[[5, 6]]	[5, 6, 河图洛书]
天上玉麒麟，英才可珍惜。	麒麟儿	1	[[0, 4]]	[0, 1, 2, 3, 4, 麒麟儿]
远属平津阁，前驱博望侯。	东阁招贤	1	[[2, 4]]	[2, 3, 4, 东阁招贤]
如贵地友人家有邺架之藏，欲一就观。	邺侯书	1	[[7, 10]]	[7, 8, 9, 10, 邺侯书]
