allusion	variation_list
东家丘	['鲁东家', '家丘', '东家', '东丘', '东家丘']
东墙窥宋	['东墙', '东邻', '宋玉墙东', '宋玉墙', '登墙', '窥墙', '窥宋', '窥玉', '迷下蔡', '东家处子', '墙东', '东墙窥宋', '东墙窥', '东墙自窥', '东邻窥玉', '三年窥宋', '三年宋玉墙东畔', '三年窥墙', '三年送目', '下蔡', '下蔡迷', '下蔡倾', '下蔡城危', '下蔡魂迷', '东家子', '东家', '子', '东墙处子', '东墙女', '东家1', '东家邻', '东邻女', '女子', '东邻子', '东家宋玉', '东邻妙', '墙东窥宋', '宋家东', '宋东邻', '宋墙东畔', '宋家墙东', '宋玉东墙', '宋墙', '宋家邻', '宋玉东家', '宋玉东邻', '宋玉连墙', '宋邻东畔', '宋玉墙头', '宋玉邻', '宋里东邻']
东山再起	['东山', '济苍生', '东山再起', '东山客', '谢郎东墅', '东山复起', '东山起', '安石起', '东山之志', '东山养望', '东山安石', '东山意', '东山绿野', '东山谢氏', '东山高卧', '东山卧', '为苍生起', '再起东山', '再起东山谢', '卧东山', '安石东山', '苍生望', '谢傅东山']
采薇	['采薇', '辞粟', '夷齐饿死', '巢夷', '西山饿夫', '首阳薇', '夷齐', '伯夷耻周粟', '不食周粟', '周粟', '夷叔', '夷齐饿首阳', '孤竹', '孤竹之志', '孤竹夷齐', '孤竹采薇', '薇歌', '西山', '西山薇蕨', '西山蕨薇', '西山士', '西山夫', '采周薇']
东山妓	['携妓']
东山携妓	['东山妓', '携妓东山', '东山携妓', '携妓', '东山妓乐', '谢公妓', '挟妓东山', '妓', '安石', '东山', '携谢妓']
梦惠连	['谢家池', '春草池塘', '梦惠连', '惠连', '谢家兄弟', '阿连', '谢家楼', '池塘梦句', '梦池塘生春草', '梦阿连', '春草句', '春草梦', '春塘草', '春草池塘梦', '梦春草', '梦池秀句', '梦草', '梦草池塘', '梦草诗', '池塘丽句', '池塘一句诗', '池塘什', '池塘句', '池塘梦中句', '池草句', '池塘春草', '池塘草', '池畔草', '池草', '池塘草梦', '池塘佳梦', '池塘入梦', '池塘春草思', '池塘春草梦', '池塘闲梦草', '池草梦', '池塘诗梦', '芳草池塘', '草塘梦', '草池梦', '诗塘春草', '诗有', '神助', '谢公池', '谢公池塘', '谢塘', '谢客池塘']
东施效颦	['效颦', '捧心', '嚬眉', '东施效颦', '学嚬', '捧心颦', '捧', '心颦', '效矉', '施颦', '西子捧心', '东家效颦', '丑妇效颦', '效颦西子', '东里之颦', '东颦', '丑女', '丑女效', '东施', '东家2', '东村女', '学捧心', '学颦', '学', '颦眉', '慕嚬', '捧心学', '捧心人', '捧心西子', '捧心施']
东海孝妇	['杀孝妇', '三年旱', '孝妇冤', '东海冤', '辟孝妇']
北窗高卧	['北窗卧', '羲皇上人', '北窗风', '羲皇人', '北窗人', '高卧', '北窗高卧', '北窗叟', '高卧北窗', '高枕', '上皇风', '北窗兴', '北窗开了', '北窗月', '北窗梦', '北窗眠']
东篱菊	['东篱', '采菊', '篱菊', '东篱菊', '陶篱', '陶潜菊', '黄菊', '篱东种菊', '采东篱', '采菊东篱', '东篱黄菊', '东篱陶令', '东篱风采', '把菊见南山']
孟嘉落帽	['吹帽', '落帽', '落帽人', '参军落帽', '参军帽', '孟嘉', '风落帽', '孟嘉帽', '落帽孟嘉情', '破帽', '孟嘉落帽', '乌帽吹', '参军吹帽', '吹乌帽', '孟嘉从宴', '孟嘉才', '孟嘉杯', '孟嘉狂醉', '山头落帽', '帽委西风', '当筵吹帽', '登高落帽', '破帽吹风', '落乌纱', '落帽之辰', '落帽客', '落帽参军', '落帽嘉', '落帽孟嘉', '落帽狂', '落帽欢', '落帽登高']
重九登高	['重九登高', '茱萸节', '菊酒', '桓景', '佩萸', '茱萸徧插', '佩茱萸', '插茱萸', '插萸', '登高', '茱萸会', '茱萸囊', '茱囊', '茱萸女', '菊花节']
东郭履	['履穿', '东郭履', '履穿东郭', '东郭行', '东郭足', '郭履', '东郭之迹', '东郭先生履', '东郭屦', '东郭胫', '履下趾']
老莱娱亲	['斑衣', '老莱衣', '舞彩', '戏莱衣', '戏彩', '彩衣', '彩服', '舞衣斑', '莱彩', '欢乌鸟', '老莱子戏采', '老莱娱亲', '老莱儿戏', '老莱戏', '老莱戏彩', '莱子承欢', '五彩戏', '五彩衣', '五彩斑衣', '五采裳', '庭彩', '庭戏莱衣', '弄鸟莱子', '彩庭', '娱亲', '彩戏', '彩服儿嬉', '彩服娱亲', '彩服承欢', '彩衣娱白发', '彩衣戏', '彩衣戏亲', '彩衣拜舞', '彩衣斑', '彩衣舞', '彩衣郎', '戏彩堂', '戏彩娱亲', '戏彩裳', '戏斑衣', '戏舞莱衣', '戏莱斑', '戏彩称觞', '戏彩阶庭', '承欢彩服', '斑裳彩衣', '班衣', '斑衣戏彩', '斑彩', '斑斓', '斑衣侍', '斑衣儿啼', '斑衣奉亲', '斑衣戏', '斑衣戏舞', '斗彩', '斑衣舞', '斑采舞', '班衣戏彩', '班衣拜舞']
东阁官梅	['东阁官梅', '扬州何逊', '官梅诗兴', '何逊梅花', '官梅', '东阁', '东阁诗兴', '何郎', '诗兴', '何逊守扬州']
东阁招贤	['平津', '开阁', '东阁', '孙弘阁', '平津馆', '东阁招贤', '公孙开阁', '东阁贤', '丞相', '阁开', '公孙阁', '叩阁', '孙弘', '孙弘东阁', '孙阁', '平津礼士', '平津阁', '平津东阁', '平津邸', '馆', '待宾']
老骥伏枥	['伏枥', '枥马', '老骥', '千里心', '老骥思千里', '老骥伏枥', '骥伏', '骥伏枥', '骥枥', '伏枥骥']
