sentence	variation_number	allusion	allusion_index
《孔氏家传》孔参议家藏，号东家方。	1	东家丘	[[13, 14]]
知己欲依何水部，乡人今正贱东丘。	1	东家丘	[[13, 14]]
东家处子三年怨，南国佳人绝代容。	1	东墙窥宋	[[0, 4]]
圣学鲁东家，恭惟同出自。	1	东家丘	[[2, 4]]
平凉民，耕何田，赋籍沿自明中年。	0		[]
学者诚熟读而精思之，于以救济苍生，亦未必无小补云。	1	东山再起	[[13, 15]]
夫医理经方，皆圣王康济苍生之术，岂可与房中、神仙之邪说并列为方伎哉！	1	东山再起	[[10, 12]]
圣代无隐者，英灵尽来归。遂令东山客，不得顾采薇。	2	东山再起, 采薇	[[14, 16], [21, 22]]
携妓东土山，怅然悲谢安。	1	东山妓	[[0, 1]]
我今携谢妓，长啸绝人群。欲报东山客，开关扫白云。	1	东山妓	[[3, 4]]
翛然别是神仙趣，岂羡东山妓乐随。	1	东山携妓	[[10, 13]]
谢公正要东山妓，携手林泉处处行。	1	东山携妓	[[4, 6]]
好雍容、东山妓女，堪笑傲、北海樽罍。	1	东山携妓	[[4, 6]]
聚徒南郡传经盛，携妓东山退食馀。	1	东山携妓	[[8, 11]]
不羡东山携妓看，堆盘鲙玉映红绡。	1	东山携妓	[[2, 5]]
谢公今击苍生望，无复东山携妓时。	1	东山携妓	[[10, 13]]
谢公自有东山妓，金屏笑坐如花人。	1	东山携妓	[[4, 6]]
至今犹有东山妓，长使歌诗被管弦。	1	东山携妓	[[4, 6]]
京口东南，有谢公妓堂遗迹。	1	东山携妓	[[6, 8]]
桃叶新声，榴花美味。南山宾客东山妓。利名不肯放人闲，忙中偷取工夫醉。	1	东山携妓	[[14, 16]]
别有狂言谢时望，东山妓即是苍生。	1	东山携妓	[[8, 10]]
送侄良携二妓赴会稽，戏有此赠携妓东山去，春光半道催。	1	东山携妓	[[14, 17]]
好雍容、东山妓女，堪笑傲、北海樽垒。	1	东山携妓	[[4, 6]]
不携东山妓，居是东山流。	1	东山携妓	[[2, 4]]
谢公昔高卧，挟妓东山游。	1	东山携妓	[[6, 9]]
谢公楼上好醇酒，二百青蚨买一斗。	0		[]
玉汝有爱妾刘氏，将行，剧饮通夕……刘贡父，玉汝姻党，即作小诗寄之以戏云：‘嫖姚不复顾家为，谁谓东山久不归。’	1	东山a	[[47, 49]]
谢家楼上清秋月，分作关山几处明。	1	梦惠连	[[0, 3]]
