sentence	variation_number	allusion	allusion_index
未曾聚萤映雪，悬头刺股，读《论》唯取一篇，披《庄》不过盈尺。	1	孙康映雪	[[2, 6]]
因甚忘归，谩吹裂、山阳夜笛。	1	山阳笛	[[9, 13]]
郢曲琴空奏，羌笛音自哀。	1	曲高和寡	[[0, 2]]
有龟还懒卜，唯觉好支床。	1	支床龟	[[9, 10]]
贯日白虹天黯淡，授书黄石事荒唐。	1	圯桥进履	[[8, 12]]
明媚何时让玉环，破瓜年纪百花颜。	1	破瓜	[[8, 11]]
闲愁眉上翠小，尽春衫宽了。舞鉴孤鸾，严妆羞独照。	1	镜鸾	[[13, 17]]
城南天尺五，祇树给孤园。	1	去天尺五	[[2, 4]]
扁善之度：以治气养生，则身后彭祖;以修身自强，则名配尧禹。	1	庄叟彭殇	[[14, 16]]
萧史凤台，宋宗鸡窗。	1	谈鸡	[[5, 9]]
门临二室留侯隐，掸依三川越相归。	1	留侯慕赤松	[[4, 7]]
比之大过铅刀攻玉，坚不可得。	1	铅刀一割	[[4, 5]]
奇情种种，怪事咄咄。	1	殷浩书空	[[5, 9]]
可怜三首清平调，不博西凉酒一杯。	1	斗酒博凉州	[[9, 11]]
其视骑省之辩，正犹萤爝之拟羲舒也。	1	月御	[[13, 15]]
时陪庾公赏，还悟脱烦嚣。	1	南楼	[[2, 5]]
笑他橘里商山叟，老大犹夸睹玉尘。初果还来戒水清，枯棋声间木鱼鸣。	2	橘中戏, 橘中戏	[[2, 6], [13, 14]]
此身如寸草，何以答春晖?	2	寸草春晖, 寸草春晖	[[3, 5], [9, 11]]
清动杯中物，高随海上槎。	1	乘槎	[[8, 11]]
望日扳仙仗，呼嵩绕御床。	1	嵩岳三呼	[[6, 8]]
别有东国儒生，西都才子，满屋铅椠，家虚儋石。	1	怀铅提椠	[[14, 16]]
老夫为场中误取了鲜于佶这厮，既负圣恩，兼生物议……欲防曼倩偷桃手，先试陈思煮豆吟。	1	方朔偷桃	[[27, 31]]
不如银汉女，岁岁鹊成桥。	1	乌鹊填桥	[[8, 11]]
时次儿丁辰，由内阁请假南来省视，亦于亭角附题一联云：“胜地许循陔，成兹乐事；齐心殷舞彩，让尔先声。	2	南陔, 老莱娱亲	[[30, 31], [41, 42]]
已应南阳气，犹迟代邸来。	1	南阳佳气	[[2, 5]]
