sentence	author	title	allusion	allusion_index
独上黄金台，凄凉泪如雨。	曹邺	东武吟	黄金台（燕昭王，郭隗）	[[2, 3, 4]]
柏台年未老，蓬鬓忽苍苍。	武元衡	台中题壁	柏台	[[0, 1]]
白雪无人唱，沧洲尽日闲。	张乔	郢州即事	白雪（宋玉）	[[0, 1]]
孤醒立众醉，古道何由昌。	李群玉	自澧浦东游江表途出巴丘投员外从公虞	独醒（屈原）	[[0, 1]]
定想褰帷政，还闻坐啸声。	钱起	送卫功曹赴荆南	褰帷	[[2, 3]]
定想褰帷政，还闻坐啸声。	钱起	送卫功曹赴荆南	坐啸	[[8, 9]]
历下辞姜被，关西得孟邻。	杜甫	寄张十二山人彪三十韵	孟母邻（孟子，孟母）	[[9, 10]]
历下辞姜被，关西得孟邻。	杜甫	寄张十二山人彪三十韵	姜被（姜肱）	[[3, 4]]
五马不复贵，一僧谁奈何。	法照	寄钱郎中	五马	[[0, 1]]
使君莫惜通宵饮，刀笔初从马伏波。	许浑	韶州韶阳楼夜宴	伏波（路博德，马援）	[[12, 13, 14]]
庾公兴不浅，黄霸镇每静。	杜甫	八哀诗故右仆射相国张公九龄	庾楼（庾亮，殷浩）	[[2, 3, 4]]
庾公兴不浅，黄霸镇每静。	杜甫	八哀诗故右仆射相国张公九龄	黄霸	[[6, 7]]
石类支机影，池似泛槎流。	李峤	同赋山居七夕	乘槎	[[8, 9]]
石类支机影，池似泛槎流。	李峤	同赋山居七夕	机石	[[]]
机迥回文巧，绅兼束发新。	李峤	锦	锦字（苏若兰）	[[2, 3]]
傅岩既纡郁，首山亦嵯峨。操筑无昔老，采薇有遗歌。	薛稷	秋日还京陕西十里作	采薇（伯夷，叔齐）	[[18, 19]]
傅岩既纡郁，首山亦嵯峨。操筑无昔老，采薇有遗歌。	薛稷	秋日还京陕西十里作	傅岩（傅说）	[[0, 1]]
腰间尽解苏秦印，波上虚迎范蠡船。	王铎	罢都统守镇滑州作	范蠡	[[12, 13]]
腰间尽解苏秦印，波上虚迎范蠡船。	王铎	罢都统守镇滑州作	六印（苏秦）	[[4, 5, 6]]
哀伤同庾信，述作异陈琳。	杜甫	风疾舟中伏枕	庾信哀（庾信）	[[9, 10]]
哀伤同庾信，述作异陈琳。	杜甫	风疾舟中伏枕	陈琳（陈琳，曹操）	[[]]
攀桂留卿月，徵文待使星。	皎然	同诸公奉侍祭岳渎使大理卢幼平自会稽回经平望将赴于朝廷期过故林不至	小山（刘安，王逸）	[[0, 1]]
欲令塞上无干戚，会待单于系颈时。	李昂	从军行	系名王（贾谊）	[[12, 13]]
双剑变成龙化去，两溪相并水归南。	窦巩	题剑津	双剑（干将，张华，莫邪，雷焕）	[[0, 1]]
幽林尝伴许，陋巷亦随回。	郑审	酒席赋得匏瓢	颜子（孔子，颜回）	[[6, 7]]
幽林尝伴许，陋巷亦随回。	郑审	酒席赋得匏瓢	一瓢（许由）	[[10]]
南图回羽翮，北极捧星辰。	杜甫	奉送严公入朝十韵	大鹏（庄子）	[[0, 1]]
潘郎今发白，陶令本家贫。	李嘉祐	送崔侍御入朝	陶潜	[[6, 7]]
潘郎今发白，陶令本家贫。	李嘉祐	送崔侍御入朝	二毛（潘岳）	[[]]
谁敢强登徐稚榻，自怜还学谢安吟。	蒋肱	永州陪郑太守登舟夜宴席上各赋诗	解榻（周璆，徐稚，陈蕃）	[[4, 5, 6]]
谁敢强登徐稚榻，自怜还学谢安吟。	蒋肱	永州陪郑太守登舟夜宴席上各赋诗	拥鼻（谢安）	[[12, 13, 14]]
楚妃波浪天南远，蔡女烟沙漠北深。	杨巨源	冬夜陪丘侍御先辈听崔校书弹琴	文姬（蔡琰，蔡邕，曹操）	[[8, 9]]
二毛梳上雪，双泪枕前冰。	许浑	盈上人	二毛（潘岳）	[[0, 1]]
陶公缘绿醑，谢傅为苍生。	裴夷直	奉和大梁相公重九日定中宴会之什	陶潜	[[0, 1]]
陶公缘绿醑，谢傅为苍生。	裴夷直	奉和大梁相公重九日定中宴会之什	谢公（谢安）	[[6, 7]]
归时傥佩黄金印，莫学苏秦不下机。	李白	别内赴征三首	貂裘（秦惠王，苏秦）	[[12, 13, 14]]
欲啸迁乔侣，先飞掷地文。	李峤	和杜侍御太清台宿直旦有怀	掷地（孙绰）	[[8, 9]]
今日登临唯有泪，不知风景在何山。	司空曙	登岘亭	岘首（羊祜）	[[]]
素柰花开西子面，绿榆枝散沈郎钱。	姚合	题梁国公主池亭	沈郎钱	[[12, 13, 14]]
素柰花开西子面，绿榆枝散沈郎钱。	姚合	题梁国公主池亭	沈郎钱	[[12, 13, 14]]
发硎思剸玉，投水化为龙。	裴夷直	观淬龙泉剑	双剑（干将，张华，莫邪，雷焕）	[[]]
志业尝探绝编义，风尘虚作弃繻生。	权德舆	送殷卿罢举归淮南旧居	弃繻（终军）	[[12, 13, 14]]
志业尝探绝编义，风尘虚作弃繻生。	权德舆	送殷卿罢举归淮南旧居	绝编（孔子）	[[4, 5]]
春草秋风老此身，一瓢长醉任家贫。	刘商	醉后	颜子（孔子，颜回）	[[]]
诏刊延阁书，高议平津邸。	王维	别綦毋潜	平津（公孙弘，薛泽）	[[8, 9, 10]]
妄比酂侯功蔑尔，每怀疏傅意悠然。	李逢吉	酬致政杨祭酒见寄	二疏（疏受，疏广）	[[10, 11]]
妄比酂侯功蔑尔，每怀疏傅意悠然。	李逢吉	酬致政杨祭酒见寄	酂侯（刘邦，萧何）	[[2, 3]]
芝焚空叹息，流恨满籯金。	王勃	伤裴录事丧子	满籯金（韦贤）	[[8, 9, 10]]
好笑襄王大迂阔，曾卧巫云见神女。银锁金簧不得听，空劳翠辇冲泥雨。	秦韬玉	吹笙歌	阳台（宋玉，楚襄王，瑶姬）	[[10, 11]]
飞琼奏云和，碧箫吹凤质。	聂夷中	公子行二首	飞琼（西王母，许飞琼）	[[0, 1]]
花香逐荀令，草色对王孙。	刘长卿	奉和杜相公新移长兴宅呈元相公	荀令香（荀彧）	[[0, 1, 2, 3]]
今日病身惭小隐，欲将泉石勒移文。	曹唐	三年冬大礼五首之五	移文（周颙，孔稚圭）	[[13, 14]]
今日病身惭小隐，欲将泉石勒移文。	曹唐	三年冬大礼五首之五	大隐	[[5, 6]]
旁人错比扬雄宅，懒惰无心作解嘲。	杜甫	堂成	解嘲（扬雄）	[[13, 14]]
炉中九转炼虽成，教主看时亦自惊。	秦韬玉	投知己	九转	[[2, 3]]
清风朗月不用一钱买，玉山自倒非人推。	李白	襄阳歌	玉山颓（嵇康）	[[10, 11, 12, 13]]
黄菊陶潜酒，青山谢公妓。	皮日休	奉献致政裴秘监	送酒（陶潜，王弘）	[[2, 3, 4]]
黄菊陶潜酒，青山谢公妓。	皮日休	奉献致政裴秘监	东山妓（谢安）	[[]]
近喜扶阳系戎相，从来卫霍笑长缨。	杨凝	送客往鄜州	卫霍（卫青，霍去病）	[[10, 11]]
汉阴有鹿门，沧海有灵查。	杜甫	喜晴	乘槎	[[9, 10]]
汉阴有鹿门，沧海有灵查。	杜甫	喜晴	庞公	[[3, 4]]
久留郎署终难遇，空扫相门谁见知。	骆宾王	帝京篇	扫门（魏勃）	[[0, 1, 2, 3]]
久留郎署终难遇，空扫相门谁见知。	骆宾王	帝京篇	悲颜驷（刘恒，刘启，颜驷）	[[]]
龙摅回地轴，鲲化想天池。	钱起	巨鱼纵大壑	大鹏（庄子）	[[6, 7]]
叶县凫共去，葛陂龙暂还。	岑参	寻少室张山人闻兴偃师周明府同入都	双凫（王乔）	[[0, 1, 2]]
叶县凫共去，葛陂龙暂还。	岑参	寻少室张山人闻兴偃师周明府同入都	龙竹（费长房）	[[6, 7, 8]]
王孙莫谏猎，贱妾解当熊。	夏至	咏冯昭仪当熊	谏猎（扬雄）	[[3, 4]]
长卿消渴再，公干沈绵屡。	杜甫	送高司直寻封阆州	相如渴（司马相如）	[[2, 3]]
长卿消渴再，公干沈绵屡。	杜甫	送高司直寻封阆州	公干病（刘桢）	[[]]
功名思马援，歌唱咽羊昙。	陆龟蒙	京口与友生话别	伏波（路博德，马援）	[[3, 4]]
谁能更使李轻车，收取凉州入汉家。	张籍	陇头行	轻车（李蔡）	[[4, 5, 6]]
行军司马智且勇，十四万众犹虎貔。	李商隐	韩碑	貔虎	[[13, 14]]
一枝何足解人愁，抛却还随定远侯。	罗隐	送泰州从事	桂枝（郤诜）	[[12, 13, 14]]
一枝何足解人愁，抛却还随定远侯。	罗隐	送泰州从事	定远（班超）	[[]]
越欧百炼时，楚卞三泣地。	吕温	古兴	欧冶子	[[]]
悯征新价欲凌空，一首堪欺左太冲。	皮日休	伤卢献秀才（献有悯征赋一卷。人为作注）	左思	[[12, 13, 14]]
味掩商山芝，英逾首阳蕨。	李德裕	忆药苗	紫芝（刘邦，夏黄公，东园公，甪里先生，绮里季，四皓）	[[2, 3, 4]]
味掩商山芝，英逾首阳蕨。	李德裕	忆药苗	采薇（伯夷，叔齐）	[[8, 9]]
云间陆生美且奇，银章朱绶映金羁。	钱起	送河南陆少府	士龙（荀隐，陆云）	[[0, 1, 2, 3]]
知君久负巢由志，早晚相忘寂寞间。	韩琮	颍亭	巢由（巢父，许由）	[[4, 5]]
共许郤诜工射策，恩荣请向一枝看。	皇甫冉	送钱唐路少府赴制举	桂枝（郤诜）	[[2, 3]]
共许郤诜工射策，恩荣请向一枝看。	皇甫冉	送钱唐路少府赴制举	桂枝（郤诜）	[[2, 3]]
萧娘脸下难胜泪，桃叶眉头易得愁。	徐凝	忆扬州	桃叶（桃叶，王子敬，王献之）	[[8, 9]]
数奇谪关塞，道广存箕颍。	杜甫	西枝村寻置草堂地夜宿赞公土室二首之二	箕颍（尧，许由，巢父）	[[9, 10]]
数奇谪关塞，道广存箕颍。	杜甫	西枝村寻置草堂地夜宿赞公土室二首之二	未封侯（李广）	[[0, 1]]
悠然策藜杖，归向桃花源。	王维	菩提寺禁口号又示裴迪	桃源（陶潜）	[[8, 9, 10]]
湘竹旧斑思帝子，江蓠初绿怨骚人。	刘长卿	送马秀才落第归江南	湘妃（唐尧，女英，娥皇，舜，虞舜）	[[4, 5, 6]]
亦是封侯地，期君早着鞭。	高适	独孤判官部送兵	著鞭（祖逖）	[[]]
北阙见端冕，南台当绣衣。	李嘉祐	送评事十九叔入秦	绣衣	[[9, 10]]
文翁旧学校，子产昔田畴。	李夷简	西亭暇日书怀十二韵献上相公	文翁	[[0, 1]]
膺门若感深恩去，终杀微躯未足酬。	方干	赠信州高员外	登龙（李膺）	[[0, 1]]
登龙旧美无邪径，折桂新荣尽直枝。	姚鹄	及第后上主司王起	桂枝（郤诜）	[[8, 9]]
登龙旧美无邪径，折桂新荣尽直枝。	姚鹄	及第后上主司王起	龙门	[[0, 1]]
漆身恩未报，貂裘弊岂嫌。	雍裕之	四色	貂裘（秦惠王，苏秦）	[[6, 7]]
吾贤富才术，此道未磷缁。	杜甫	暮春江陵送马大卿公恩命追赴阙下	磷缁	[[9, 10]]
伏枕嗟公干，归山羡子平。	孟浩然	李氏园林卧疾	尚平（向长）	[[9, 10]]
伏枕嗟公干，归山羡子平。	孟浩然	李氏园林卧疾	公干病（刘桢）	[[]]
往来未若奇张翰，欲鲙霜鲸碧海东。	王初	书秋	鲈鱼（张翰）	[[5, 6]]
